PES0.45-3(5),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
0.266835,-0.573757206,50.3401,4473.55,2855.15,3443.94,3.650652296
0.232079,-0.634364156,50.0109,4845.59,3113.98,3712.53,3.685346664
0.201851,-0.694969095,48.9355,5298.81,3480.83,3995.15,3.724178347
0.17556,-0.755574428,47.9985,5765.29,3857.85,4284.35,3.760821158
0.152693,-0.816180872,47.7202,6247.76,4203.19,4622.53,3.795724338
0.132804,-0.876788844,45.3242,6814.97,4791.57,4846.1,3.833463948
0.115506,-0.937395456,43.814,7395.32,5336.4,5119.92,3.868956971
0.100462,-0.99799818,42.3589,7864.19,5811.16,5298.68,3.895653998
0.0873764,-1.058605853,40.7075,8453.25,6407.98,5513.19,3.927023713
0.0759956,-1.119211552,39.2445,9132.47,7072.67,5777.49,3.960588254
0.0660971,-1.179817595,37.1863,9674.55,7707.47,5847.39,3.985630773
0.0574878,-1.240424311,34.9802,10370.2,8496.86,5945.19,4.015787132
0.05,-1.301029996,33.362,10860.8,9071.07,5972.64,4.035861816
