Sartorius_CelluloseNitrate5-2(1),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
0.306795,-0.513151723,74.7612,33313,8756.06,32141.6,4.522613745
0.266835,-0.573757206,75.0864,37132.5,9556.49,35881.7,4.56975419
0.232079,-0.634364156,74.8893,42567.7,11096.8,41095.9,4.629080185
0.201851,-0.694969095,75.1113,47732.2,12264.4,46129.7,4.678811452
0.17556,-0.755574428,75.7771,52162.1,12816,50563.1,4.717355067
0.152693,-0.816180872,75.0346,61330.2,15837.6,59250,4.787674381
0.132804,-0.876788844,75.2067,69093.8,17641.9,66803.6,4.839439079
0.115506,-0.937395456,75.0903,78870.1,20293,76214.8,4.896912391
0.100462,-0.99799818,74.9775,90342.8,23416.7,87255.2,4.955893547
0.0873764,-1.058605853,75.0532,102946,26552.1,99463.1,5.012609477
0.0759956,-1.119211552,74.6781,119288,31520.9,115048,5.076596757
0.0660971,-1.179817595,74.5791,138527,36835.6,133540,5.141534429
0.0574878,-1.240424311,74.128,162826,44531.2,156619,5.211723754
0.05,-1.301029996,73.3156,204370,58674.9,195767,5.310417145
