Sartorius_CelluloseNitrate0.45-2(2),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
0.306795,-0.513151723,63.1491,18231.3,8234.56,16265.7,4.260817638
0.266835,-0.573757206,62.7052,20015.7,9178.58,17787.1,4.301370783
0.232079,-0.634364156,59.7975,23323.5,11733.1,20157.4,4.367793723
0.201851,-0.694969095,62.2764,32874.4,15293.4,29100.5,4.516857835
0.17556,-0.755574428,60.0816,38143.8,19024.9,33060.6,4.581423957
0.152693,-0.816180872,58.5636,42000.3,21905.4,35835.5,4.623252392
0.132804,-0.876788844,52.7246,45219,27386.8,35982.3,4.655320954
0.115506,-0.937395456,52.0887,51806.9,31832.3,40873.7,4.714387606
0.100462,-0.99799818,48.7879,55647.2,36663.1,41862,4.745443317
0.0873764,-1.058605853,46.313,60546.3,41820.5,43782.5,4.782087608
0.0759956,-1.119211552,47.3944,87275.2,59080.7,64237.3,4.940890853
0.0660971,-1.179817595,41.4315,95849.7,71863,63426,4.981590758
0.0574878,-1.240424311,45.4738,142407,99860.9,101526,5.153531338
0.05,-1.301029996,20.5901,132991,124496,46770.2,5.123822252
