I-16-1,,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
0.266835,-0.573757206,45.7364,7551.51,5270.65,5407.91,3.878033802
0.232079,-0.634364156,44.3322,8102.12,5795.45,5661.9,3.908598671
0.201851,-0.694969095,42.8669,8623.16,6320.22,5866.32,3.935666444
0.17556,-0.755574428,41.6035,9197.63,6877.6,6106.97,3.963675935
0.152693,-0.816180872,40.1984,9816.01,7497.6,6335.61,3.991934992
0.132804,-0.876788844,38.8769,10371.7,8074.35,6509.81,4.015849946
0.115506,-0.937395456,37.6776,11049.8,8745.51,6753.84,4.043354417
0.100462,-0.99799818,36.6828,11732.1,9408.62,7008.59,4.069375756
0.0873764,-1.058605853,35.3859,12550,10231.7,7267.49,4.098643726
0.0759956,-1.119211552,34.3989,13364.1,11027,7550.05,4.125939717
0.0660971,-1.179817595,34.7059,15592.9,12818.7,8878.07,4.192926894
0.0574878,-1.240424311,34.5765,22105.1,18200.7,12544.8,4.344492484
0.05,-1.301029996,31.9142,23570.2,20007.3,12460.4,4.372363268
