Concentration,Heating,Thickness,Elastic Modulus,Yield Strength,Plateau Slope,Densification Slope,Changepoint,Fit
11.63,True,112.0,92.60215746630357,[48.72198439],41.13620085225387,1394.2096266570034,0.6865395896801103,True
11.63,True,108.0,81.34497971683616,[9.10082496],64.23175667851194,1531.4235228061887,0.9676514920226799,True
11.63,True,122.0,107.34330993236303,[43.97082022],48.58059098664799,1446.4887627948758,0.5777194540155056,True
11.63,True,125.0,95.36621783346223,[42.45587726],16.58025238475268,1470.3065349843519,0.6059720596378179,True
11.63,True,100.0,62.56696201372417,[7.46933042],32.25295230661648,1374.1307963562674,0.9816632230281823,True
11.63,True,110.0,68.91570647417674,[25.91813824],56.56025364979936,1505.1676036138929,0.6346600715621551,True
11.63,True,115.0,82.02822606266957,[36.4513777],63.95170924481042,1284.956429426085,0.7408293704541544,True
11.63,False,104.0,44.3195699017501,[5.04829505],23.40369738248941,1511.0353868605146,0.7531578215889605,True
11.63,False,104.0,38.197206760594085,[10.83418396],24.75634405336061,1836.2902362418256,0.8459876402316496,True
11.63,False,108.0,28.62153749308103,[6.37234053],21.81454706035543,1485.9425760423694,0.9321697376447363,True
11.63,False,111.0,37.68824149429307,[4.51592172],19.549249916784326,1105.084878866389,0.9230218347450527,True
11.63,False,102.0,48.01442404500027,[4.09638717],26.439765797305217,1294.3789678243018,0.6696464248832049,True
12.0,True,104.14,36.836979812367495,[3.45320442],28.838472554800443,1349.7381522041676,0.7335315854628313,True
12.0,True,99.21239999999999,37.090758072126306,[3.89641829],29.036251458822683,1213.6648437770436,0.7735899763410595,True
12.0,True,98.67899999999999,34.86898376037931,[3.8009018],27.44376020176786,1251.37239481229,0.7782651562960567,True
13.0,True,121.0,71.2300891627639,[14.13150348],19.966856694811494,1589.3892608648991,0.8302087181766403,True
13.0,True,112.0,68.49178099204498,[7.63840038],21.19590788351204,1570.2734869190683,0.9318518866276433,True
13.0,True,125.0,54.484868594115405,[23.51213499],12.588326527735791,1534.2077114476313,0.7445287047558461,True
13.0,True,137.0,69.66017902686076,[16.19803967],36.58704360296161,1470.8062710177985,0.713194102766823,True
14.0,True,104.5972,87.95079602388107,[8.06432409],43.85274069208432,983.9944838859682,0.6570951751090723,True
14.0,True,106.553,82.3661979329033,[7.10674006],41.45672735537539,972.711979948608,0.6782772509466383,True
14.0,True,110.94720000000001,83.94906235836416,[7.52106687],43.148755082105545,953.5847171177948,0.6732448115215048,True
14.0,True,108.96600000000001,95.95424981989515,[8.50200491],45.195425422263575,950.9334806215311,0.6705429136285709,True
14.43,False,109.0,122.24632452504612,[8.99855171],55.857568812141594,967.1425654247214,0.6359366954046232,True
14.43,False,100.0,116.49842567823778,[10.17260862],52.74498550810999,945.0730294950881,0.6530513864549773,True
14.43,False,100.0,117.02087681356167,[9.99073556],51.885672181681805,890.549752583834,0.6441561832920658,True
14.43,False,103.0,122.66084675279332,[9.49528635],55.314307930348384,937.9163491195643,0.6275510227539594,True
16.0,True,108.077,158.9632555180446,[12.22785369],59.96179704027712,944.2163615223538,0.5909698808069785,True
16.0,True,110.0582,161.151069736347,[12.50207714],61.09372190022128,1006.2945552054616,0.592763229461377,True
16.0,True,113.00459999999998,166.25048773660532,[12.87246663],60.50973101703477,988.5724289727343,0.6065710060528617,True
16.0,True,111.48059999999998,162.53424065605859,[12.31369218],60.980737795650676,1030.0758052546523,0.6015607838190606,True
17.0,True,125.06960000000001,273.40961025786663,[21.09823151],248.56826617031857,844.4588082037933,0.4363577417077872,False
17.0,False,106.0,163.10097133420805,[11.88717132],73.43609567641278,882.6386334093925,0.5920982823261131,True
17.0,False,107.0,159.24021918170146,[16.37308826],71.08990566470072,913.4286991758764,0.6117890930725925,True
17.0,False,105.0,177.84169723726495,[13.13598408],76.48884858738185,794.8298729147143,0.5929568694260272,True
17.0,False,106.0,174.354164897772,[12.72073929],76.30012876677193,879.0898119302551,0.6006220026041543,True
17.0,False,106.0,175.06301844635186,[13.6449075],73.9065350486947,843.7407795232698,0.5935301909152114,True
17.0,True,124.841,293.07566794471774,[14.86158272],256.0026333244531,714.1442291588128,0.47352172035265466,False
17.0,False,109.0,180.68923031686845,[13.48090214],78.2069213225373,829.759098867292,0.5872117095726729,True
17.0,True,104.0,166.09895643189114,[12.17730911],73.5722841292491,904.6714852677403,0.6016279084427311,True
17.0,True,107.0,174.52552632140518,[12.65048718],76.11105038779058,873.8736723725991,0.5994038943268981,True
17.0,True,109.0,180.02011307929,[13.68329727],76.6986034838654,933.6246825326356,0.601185045395834,True
17.0,False,100.0,156.83057139216095,[12.30346829],70.43643050793392,896.544012151366,0.6135036735664253,True
17.0,True,122.6566,265.47516868240115,[16.50742592],240.22899191389394,467.24111882587465,0.570354737460475,False
17.0,True,123.317,253.044589054906,[46.25395647],144.80329820529803,716.2246160945415,0.43039149653078,False
17.0,True,103.0,161.44011603636463,[12.62565424],71.74112641487086,872.142447820588,0.5944301591305161,True
17.0,False,101.0,149.9644393877068,[12.05591275],71.11783263430456,904.4116928718827,0.6070331569790824,True
