I-16-2,,I-16-3,,I-16-1,,PES0.45-1(5),,PES0.45-2(5),,PES0.45-3(5),,PVDF0.2-1(3),,PVDF0.2-2(3),,PVDF0.2-3(3),,PVDF0.45-1(4),,PVDF0.45-2(4),,PVDF0.45-3(4),,PVDF5-1(6),,PVDF5-2(6),,PVDF5-3(6),,PW-1,,PW-2,,PW-3,,Sartorius_CelluloseNitrate0.45-1(2),,Sartorius_CelluloseNitrate0.45-2(2),,Sartorius_CelluloseNitrate0.45-3(2),,Sartorius_CelluloseNitrate5-1(1),,Sartorius_CelluloseNitrate5-2(1),,Sartorius_CelluloseNitrate5-3(1),
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-0.910043,-903.777,-0.910043,-846.985,-0.910043,-614.479,-0.910043,-1213.77,-0.910043,-1255.35,-0.910043,-1409.46,-0.910043,-738.743,-0.910043,-1574.4,-0.910043,-1379.33,-0.910043,-1166.51,-0.910043,-1265.89,-0.910043,-1115.02,-0.910043,-634.124,-0.910043,-533.607,-0.910043,-683.858,-0.910043,-886.992,-0.910043,-531.795,-0.910043,-751.617,-0.910043,-1302.32,-0.910043,-1497.2,-0.910043,-1517.28,-0.910043,-754.097,-0.910043,-543.525,-0.910043,-790.337
-0.900043,-853.137,-0.900043,-795.248,-0.900043,-582.817,-0.900043,-1135.38,-0.900043,-1195.13,-0.900043,-1352.63,-0.900043,-706.89,-0.900043,-1501.83,-0.900043,-1315.72,-0.900043,-1098.33,-0.900043,-1208.33,-0.900043,-1064.71,-0.900043,-587.919,-0.900043,-489.69,-0.900043,-645.807,-0.900043,-838.021,-0.900043,-505.235,-0.900043,-710.466,-0.900043,-1227.22,-0.900043,-1431.64,-0.900043,-1451.24,-0.900043,-698.307,-0.900043,-493.075,-0.900043,-735.453
-0.890121,-802.496,-0.890121,-743.416,-0.890121,-552.442,-0.890121,-1091.51,-0.890121,-1135.85,-0.890121,-1294.16,-0.890121,-674.512,-0.890121,-1429.59,-0.890121,-1252.49,-0.890121,-1029.9,-0.890121,-1150.21,-0.890121,-1014.59,-0.890121,-543.572,-0.890121,-445.01,-0.890121,-607.517,-0.890121,-787.428,-0.890121,-479.056,-0.890121,-672.796,-0.890121,-1153.69,-0.890121,-1366.17,-0.890121,-1384.67,-0.890121,-643.089,-0.890121,-442.578,-0.890121,-681.999
-0.88012,-753.382,-0.88012,-691.488,-0.88012,-522.735,-0.88012,-1034.53,-0.88012,-1076.34,-0.88012,-1237.42,-0.88012,-642.374,-0.88012,-1357.63,-0.88012,-1189.74,-0.88012,-963.62,-0.88012,-1092.61,-0.88012,-964.335,-0.88012,-495.316,-0.88012,-401.665,-0.88012,-569.751,-0.88012,-739.983,-0.88012,-453.355,-0.88012,-632.026,-0.88012,-1082.07,-0.88012,-1300.79,-0.88012,-1317.82,-0.88012,-588.634,-0.88012,-393.702,-0.88012,-630.119
-0.87012,-704.506,-0.87012,-641.134,-0.87012,-494.363,-0.87012,-963.763,-0.87012,-1018.79,-0.87012,-1180.25,-0.87012,-610.759,-0.87012,-1285.96,-0.87012,-1127.37,-0.87012,-898.579,-0.87012,-1035.67,-0.87012,-914.649,-0.87012,-451.638,-0.87012,-361.229,-0.87012,-532.51,-0.87012,-687.626,-0.87012,-427.319,-0.87012,-590.732,-0.87012,-1012.07,-0.87012,-1236.23,-0.87012,-1251.01,-0.87012,-536.563,-0.87012,-347.878,-0.87012,-579.479
-0.860121,-657.489,-0.860121,-595.596,-0.860121,-466.706,-0.860121,-912.932,-0.860121,-958.566,-0.860121,-1124.17,-0.860121,-579.431,-0.860121,-1216.15,-0.860121,-1066.57,-0.860121,-836.352,-0.860121,-979.785,-0.860121,-866.679,-0.860121,-413.968,-0.860121,-323.893,-0.860121,-496.509,-0.860121,-649.812,-0.860121,-402.333,-0.860121,-545.241,-0.860121,-944.547,-0.860121,-1172.62,-0.860121,-1186.64,-0.860121,-486.686,-0.860121,-305.105,-0.860121,-531.27
-0.850121,-610.998,-0.850121,-550.153,-0.850121,-439.527,-0.850121,-864.581,-0.850121,-905.064,-0.850121,-1067.48,-0.850121,-548.436,-0.850121,-1146.39,-0.850121,-1005.72,-0.850121,-775.316,-0.850121,-924.519,-0.850121,-818.041,-0.850121,-375.01,-0.850121,-289.37,-0.850121,-460.793,-0.850121,-602.844,-0.850121,-377.537,-0.850121,-502.469,-0.850121,-878.79,-0.850121,-1109.15,-0.850121,-1121.74,-0.850121,-439.336,-0.850121,-265.671,-0.850121,-484.731
-0.84012,-566.08,-0.84012,-506.331,-0.84012,-413.777,-0.84012,-813.559,-0.84012,-850.371,-0.84012,-1011.73,-0.84012,-517.299,-0.84012,-1078.59,-0.84012,-946.883,-0.84012,-717.237,-0.84012,-869.921,-0.84012,-770.548,-0.84012,-338.151,-0.84012,-257.994,-0.84012,-426.222,-0.84012,-556.495,-0.84012,-353.171,-0.84012,-464.608,-0.84012,-816.229,-0.84012,-1046.83,-0.84012,-1058.65,-0.84012,-394.894,-0.84012,-230.337,-0.84012,-440.289
-0.83012,-523.355,-0.83012,-463.941,-0.83012,-388.361,-0.83012,-762.108,-0.83012,-798.347,-0.83012,-956.515,-0.83012,-489.118,-0.83012,-1012.69,-0.83012,-889.758,-0.83012,-662.448,-0.83012,-816.611,-0.83012,-724.056,-0.83012,-302.912,-0.83012,-229.336,-0.83012,-393.178,-0.83012,-520.923,-0.83012,-329.854,-0.83012,-427.796,-0.83012,-757.053,-0.83012,-985.841,-0.83012,-996.617,-0.83012,-353.266,-0.83012,-198.532,-0.83012,-397.946
-0.82012,-482.203,-0.82012,-424.172,-0.82012,-364.186,-0.82012,-712.421,-0.82012,-746.325,-0.82012,-902.823,-0.82012,-461.461,-0.82012,-948.886,-0.82012,-834.349,-0.82012,-611.236,-0.82012,-765.255,-0.82012,-678.518,-0.82012,-269.772,-0.82012,-203.777,-0.82012,-361.229,-0.82012,-482.49,-0.82012,-307.776,-0.82012,-390.316,-0.82012,-700.024,-0.82012,-926.808,-0.82012,-936.154,-0.82012,-315.405,-0.82012,-170.78,-0.82012,-357.844
